IP,CODE,NAME,REGION,CITY,LAT,LON,KNOWN
188.226.167.212,NL,'Netherlands','Noord-Holland','Amsterdam',52.374030,4.889690,YES
188.254.0.197,RU,'Russian Federation','Severnaya Osetiya, Respublika','Khumalag',43.240310,44.475210,YES
188.254.0.2,RU,'Russian Federation','Severnaya Osetiya, Respublika','Khumalag',43.240310,44.475210,YES
188.36.125.210,HU,'Hungary','Szabolcs-Szatmar-Bereg','Nyiregyhaza',47.955390,21.716710,YES
189.240.225.205,MX,'Mexico','Morelos','Tlalnepantla',19.000000,-98.983330,YES
190.145.192.106,CO,'Colombia','Meta','Villavicencio',4.142000,-73.626640,YES
190.15.59.5,BR,'Brazil','Rio Grande do Sul','Marau',-28.449170,-52.200000,YES
192.144.161.16,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
192.144.218.46,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
192.99.188.229,CA,'Canada','Quebec','Beauharnois',45.316780,-73.865900,YES
193.112.112.78,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
193.112.4.12,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
193.190.205.210,BE,'Belgium','Brussels Hoofdstedelijk Gewest','Brussels',50.850450,4.348780,YES
193.58.196.146,SK,'Slovakia','Kosicky kraj','Kosice',48.713950,21.258080,YES
195.154.184.196,FR,'France','Ile-de-France','Paris',48.853410,2.348800,YES
195.70.59.121,HU,'Hungary','Budapest','Budapest',47.498010,19.039910,YES
196.44.236.213,ZA,'South Africa','Kwazulu-Natal','Durban',-29.857900,31.029200,YES
198.27.79.180,CA,'Canada','Quebec','Beauharnois',45.316780,-73.865900,YES
200.108.143.6,PY,'Paraguay','Alto Parana','Ciudad del Este',-25.516667,-54.616667,YES
200.146.215.26,BR,'Brazil','Minas Gerais','Belo Horizonte',-19.920830,-43.937780,YES
202.126.208.122,HK,'Hong Kong','Hong Kong','Hong Kong',22.285520,114.157690,YES
202.147.198.154,ID,'Indonesia','Jakarta Raya','Jakarta',-6.214620,106.845130,YES
202.38.153.233,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
202.51.98.226,ID,'Indonesia','Jakarta Raya','Jakarta',-6.214620,106.845130,YES
202.77.105.100,ID,'Indonesia','Jakarta Raya','Jakarta',-6.214620,106.845130,YES
203.172.76.4,TH,'Thailand','Krung Thep Maha Nakhon','Bangkok',13.750000,100.516670,YES
203.195.205.253,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
206.189.146.27,US,'United States of America','New York','New York City',40.719938,-74.005012,YES
206.189.200.15,US,'United States of America','New York','New York City',40.719938,-74.005012,YES
208.113.164.202,US,'United States of America','California','Brea',33.930220,-117.888420,YES
209.141.35.62,US,'United States of America','Nevada','Las Vegas',36.174970,-115.137220,YES
211.112.18.37,KR,'Korea (Republic of)','Seoul-teukbyeolsi','Seoul',37.568260,126.977830,YES
211.213.198.139,KR,'Korea (Republic of)','Seoul-teukbyeolsi','Seoul',37.568260,126.977830,YES
211.78.92.47,TW,'Taiwan (Province of China)','Taipei','Taipei',25.047760,121.531850,YES
211.91.163.236,CN,'China','Hubei','Wuhan',30.583330,114.266670,YES
213.47.6.74,AT,'Austria','Wien','Vienna',48.208490,16.372080,YES
213.5.203.185,PL,'Poland','Slaskie','Zabrze',50.324920,18.785760,YES
213.60.19.18,ES,'Spain','Galicia','A Coruna',43.371350,-8.396000,YES
218.241.202.58,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
218.29.188.139,CN,'China','Henan','Xinxiang',35.308890,113.867220,YES
218.93.225.150,CN,'China','Jiangsu','Suqian',33.933333,118.283333,YES
221.2.144.76,CN,'China','Shandong','Weihai',37.501670,122.113610,YES
221.4.34.23,CN,'China','Guangdong','Guangzhou',23.116670,113.250000,YES
222.239.28.177,KR,'Korea (Republic of)','Seoul-teukbyeolsi','Seoul',37.568260,126.977830,YES
222.72.137.113,CN,'China','Shanghai','Shanghai',31.222220,121.458060,YES
223.171.32.55,KR,'Korea (Republic of)','Seoul-teukbyeolsi','Seoul',37.568260,126.977830,YES
223.194.7.107,KR,'Korea (Republic of)','Seoul-teukbyeolsi','Seoul',37.568260,126.977830,YES
23.129.64.100,US,'United States of America','Washington','Seattle',47.602400,-122.326000,NO
23.254.215.210,US,'United States of America','Washington','Seattle',47.620620,-122.310960,YES
27.221.97.3,CN,'China','Shandong','Jinan',36.668330,116.997220,YES
31.207.35.68,FR,'France','Ile-de-France','Paris',48.853410,2.348800,YES
34.87.45.100,US,'United States of America','California','Mountain View',37.405992,-122.078515,YES
34.87.83.116,US,'United States of America','California','Mountain View',37.405992,-122.078515,YES
35.200.161.135,US,'United States of America','California','Mountain View',37.405992,-122.078515,YES
36.110.68.138,CN,'China','Zhejiang','Hangzhou',30.293650,120.161420,YES
